"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.06710248131839	0.0121800925177951	Inf	1	5.69003228970708	2.38309099664935e-06
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	4.51967964095134	0.0638465308549211	Inf	1	106.782161970626	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	1.01443500603416	0.0115878305455554	Inf	1	1.25465184889119	0.999535117881941
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	1.00720530214594	0.011500702836078	Inf	1	0.628761417160381	0.999999993638832
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	1.05833533222795	0.0120855288253678	Inf	1	4.96500278550057	0.000124405010162643
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	2.09017772603543	0.0238282453927935	Inf	1	64.6703783399894	0
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	1.1821729559331	0.0134398396352094	Inf	1	14.7205363900834	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.09786998855928	0.0157224275446016	Inf	1	6.52000067175664	1.3329555792474e-08
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.02080953745383	0.0116582067017025	Inf	1	1.80341367826495	0.962246449001233
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	1.01517134067579	0.0118611881798986	Inf	1	1.28872821264643	0.999324775710512
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	1.20966938254844	0.0142092119407501	Inf	1	16.2047720443745	0
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	3.11392756629242	0.0438845255971629	Inf	1	80.5993224621908	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	1.03959925379753	0.0122184822857086	Inf	1	3.3042692374794	0.104421847762906
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.978767540981437	0.0115374027994486	Inf	1	-1.82063833982343	0.958563740364877
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	1.36647124187118	0.01608384066491	Inf	1	26.5269733681791	0
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.75398022983832	0.0316240751353132	Inf	1	88.2211419042776	0
"Dissection Angular gyrus AnG seurat / whole cortex scvi"	0.884532093795331	0.0104661458699356	Inf	1	-10.3695263673964	1.77746706242488e-13
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	1.01087448468345	0.0144501550760417	Inf	1	0.756628469819171	0.999999841078986
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.965020081037791	0.0114054271008787	Inf	1	-3.01267636062203	0.224525046221906
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	4.23546915134838	0.0593067939053295	Inf	1	103.088943685747	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 seurat"	0.950644407443268	0.0108521267937507	Inf	1	-4.4338827228144	0.00156849210658394
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.943869328184441	0.0107710015997229	Inf	1	-5.06220468758437	7.56101986393309e-05
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 seurat"	0.991784154526934	0.0113180333620858	Inf	1	-0.722917342871967	0.999999927302643
"Dissection Anterior cingulate cortex ACC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.95874132300119	0.0222979074100113	Inf	1	59.0578232678303	0
"Dissection Anterior cingulate cortex ACC seurat / whole cortex seurat"	1.10783451133255	0.0125836224235208	Inf	1	9.01570690731268	1.31117339208231e-13
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.02883275765874	0.0146095538935533	Inf	1	2.00173691344866	0.902505302882455
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.956618089944494	0.0109185109752171	Inf	1	-3.88578668234656	0.0150137049402848
"Dissection Anterior cingulate cortex ACC seurat / Dissection Angular gyrus AnG scvi"	0.951334439239202	0.0111010952586002	Inf	1	-4.27540709464294	0.00313408693257877
"Dissection Anterior cingulate cortex ACC seurat / Dissection Anterior cingulate cortex ACC scvi"	1.13360188334855	0.0132925821125594	Inf	1	10.6942169102067	1.89404048001052e-13
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.91811482102939	0.0407664308122569	Inf	1	76.6591384155407	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 scvi"	0.974226254739023	0.0114348525284886	Inf	1	-2.22466458144673	0.785426736743557
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 scvi"	0.917219815450327	0.0107977836604115	Inf	1	-7.3399547529653	4.07087696885355e-11
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 scvi"	1.28054358957438	0.0150487192227789	Inf	1	21.0422422408817	0
"Dissection Anterior cingulate cortex ACC seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.5808020111019	0.0295732799337512	Inf	1	82.7388415520507	0
