"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.918991252096228	0.0178056212682984	0.876523576007063	0.947723980314188
"scvi"	0	0.910623231754566	0.0194698915964202	0.864405029810861	0.94214218884243
"seurat"	0.05	0.911811282534485	0.0192250753575944	0.86614841555049	0.942922997564205
"scvi"	0.05	0.886260741682386	0.0241032853153629	0.829828834203993	0.925655365619698
"seurat"	0.1	0.904061372480134	0.020730493388942	0.855041369488428	0.937712092418746
"scvi"	0.1	0.856305379131668	0.0294112388746536	0.78858574666472	0.904947860951535
"seurat"	0.15	0.89570830816092	0.0223220816136051	0.843174961742967	0.932061917717795
"scvi"	0.15	0.820062476893394	0.0352604874125562	0.740465629278026	0.879229254180223
"seurat"	0.2	0.886719098763046	0.0239990098103008	0.830524827734358	0.92594206224099
"scvi"	0.2	0.777058279532493	0.0413881325886254	0.685749055103291	0.847727817557173
"seurat"	0.25	0.877061427272527	0.0257592371701525	0.817070489281071	0.919321215633432
"scvi"	0.25	0.727195332042686	0.0473893589947522	0.625324664999608	0.80979321031614
"seurat"	0.5	0.817733258274555	0.0356316741672895	0.737394699800112	0.877574457823203
"scvi"	0.5	0.410865094299981	0.0578581635460776	0.303875097344274	0.527006639608655
"seurat"	0.75	0.738316670774091	0.0463058843877074	0.6381757658335	0.818619188547796
"scvi"	0.75	0.154306040267312	0.0312759869185676	0.10238515183099	0.225929508416718
