"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.847025875014097	0.0370231970533204	0.759767842562503	0.906490521613029
"scvi"	0	0.740267720597877	0.0549354122716329	0.619477967654689	0.833048420697016
"seurat"	0.05	0.834893801653778	0.0393806491314652	0.742834205426225	0.898501047522243
"scvi"	0.05	0.683239684827984	0.0618245805414819	0.55200535413416	0.790612973867096
"seurat"	0.1	0.822001753036174	0.0417946186156491	0.725134991472094	0.889913702966486
"scvi"	0.1	0.620115899291978	0.0672855697889019	0.482555297794066	0.740753298667656
"seurat"	0.15	0.808334146634616	0.0442512835153959	0.706694694203881	0.880698280388003
"scvi"	0.15	0.552649116600674	0.0706085530858193	0.413766158621261	0.683775628611891
"seurat"	0.2	0.793880229945676	0.0467345221666298	0.687546262839737	0.870825532144277
"scvi"	0.2	0.483186310508031	0.0713166140633178	0.348178506286699	0.62069405962027
"seurat"	0.25	0.778634813915059	0.0492259327714359	0.667731287690966	0.860267674159341
"scvi"	0.25	0.414367237059188	0.0693036948201325	0.287876424867433	0.553257108485585
"seurat"	0.5	0.690828254733902	0.061020959056295	0.560700044559843	0.796406600668532
"scvi"	0.5	0.149409359219002	0.0363225267919519	0.0911685992019794	0.23522609940641
"seurat"	0.75	0.58668068618271	0.0693618911677552	0.447591484691176	0.71318989471935
"scvi"	0.75	0.0417847161301449	0.0114659992453656	0.0242721961217144	0.0710130165884688
