metric	mean	std
weighted_f1	0.9466696540233582	0.07818206354057547
weighted_precision	0.9771764182693498	0.03904737381062142
weighted_recall	0.9394225724403202	0.08824941066368121
overall_accuracy	0.9394225724403202	0.08824941066368121
macro_f1	0.9031665183147485	0.12059471663734402
macro_precision	0.9571470328087062	0.06584221091611103
macro_recall	0.9073767690386674	0.11766845859486819
micro_f1	0.9394225724403202	0.08824941066368121
micro_precision	0.9394225724403202	0.08824941066368121
micro_recall	0.9394225724403202	0.08824941066368121
