"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.18880853993534	0.0119399222295677	Inf	1	17.2200714293303	0
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	3.6839813183068	0.0455393875353197	Inf	1	105.488676277802	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	1.17407722835756	0.0117918117103351	Inf	1	15.9787872446214	0
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	0.999848270601649	0.0101448525747739	Inf	1	-0.0149551593524848	1
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	1.39093485638489	0.0138165693907805	Inf	1	33.2191890725299	0
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	5.05827314023587	0.0469866611931236	Inf	1	174.508844844029	0
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	1.22176709852744	0.0121922187545029	Inf	1	20.0716390786323	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.49767913798383	0.0188834098673265	Inf	1	32.0353989147929	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.19758906516381	0.0120173157951494	Inf	1	17.968887158158	0
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	0.854695744130671	0.00858443021589317	Inf	1	-15.6324348966851	0
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	1.06877598871623	0.0106894699369839	Inf	1	6.65034173026095	5.54701662380808e-09
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.5675310511192	0.031280576322391	Inf	1	77.3975491135785	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	0.915261609134418	0.00922187981809031	Inf	1	-8.78802962820035	1.53321799700734e-13
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.884168374996434	0.00894872376358325	Inf	1	-12.163521350124	0
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	1.23768392762517	0.0123192177859905	Inf	1	21.4239242896377	0
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.64247906952239	0.0254801837285544	Inf	1	100.774124323894	0
"Dissection Angular gyrus AnG seurat / whole cortex scvi"	0.798349693698105	0.0081341899108456	Inf	1	-22.1036379466115	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	1.02731200252492	0.0128850979313115	Inf	1	2.14834419517464	0.83139500440583
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.771685983164012	0.0078066998935939	Inf	1	-25.6194935220472	0
