"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.793467285481539	0.0322514724916515	0.72316013581388	0.84963172260803
"scvi"	0	0.825033506665078	0.0284163582947944	0.762234528067714	0.873988000461991
"seurat"	0.05	0.78834671728234	0.032828260106041	0.716941052059829	0.845618118129484
"scvi"	0.05	0.79755447971921	0.0317727175469705	0.728170068032653	0.852808511399945
"seurat"	0.1	0.783133893224209	0.0334067476963764	0.710633230614159	0.841520564536024
"scvi"	0.1	0.766978697505255	0.0351591968427165	0.691196618395352	0.828770532648041
"seurat"	0.15	0.777828864054782	0.033986473045383	0.704237831790915	0.837338444029165
"scvi"	0.15	0.733329042656543	0.0384626464178625	0.651594209896218	0.801723905478928
"seurat"	0.2	0.772431772282949	0.0345669544153878	0.697756138816625	0.833071192690065
"scvi"	0.2	0.696741479121718	0.0415512570959679	0.609773849074994	0.771587324075762
"seurat"	0.25	0.76694285518721	0.0351476908533832	0.69118955921054	0.828718303351058
"scvi"	0.25	0.657478719900034	0.0442827007150685	0.566268403599891	0.738370228714361
"seurat"	0.5	0.738136180993473	0.0380363769391602	0.657141433682727	0.805655869366651
"scvi"	0.5	0.438642730980155	0.048450498160722	0.346975613644585	0.534697987982053
"seurat"	0.75	0.707128585027751	0.0408461805990652	0.621254666759124	0.780414015143755
"scvi"	0.75	0.241326048954746	0.0361116817601448	0.177696001601312	0.31890458455106
