label	key	method	reference	cutoff	subsample_ref	mean_f1	std_f1	n_studies	systematic_failure
Astrocyte	class	scvi_knn	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.8911046332188982	0.09134579188065367	6	False
Astrocyte	class	scvi_knn	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.9227715572589726	0.05548913038374506	6	False
Astrocyte	class	scvi_knn	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.8723327276052558	0.0946133522231965	6	False
Astrocyte	class	scvi_knn	whole cortex	0.0	100	0.9278019434352016	0.04921978323846053	6	False
Astrocyte	class	scvi_rf	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.8690343019826868	0.08643116674319014	6	False
Astrocyte	class	scvi_rf	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.9274491095191437	0.05371724970299645	6	False
Astrocyte	class	scvi_rf	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.8126708337362957	0.1286650292100485	6	False
Astrocyte	class	scvi_rf	whole cortex	0.0	100	0.9236269030842376	0.055254102178166585	6	False
Astrocyte	class	seurat	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.7951748554282854	0.16518314153047495	6	False
Astrocyte	class	seurat	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.9301045520078789	0.04921964729703129	6	False
Astrocyte	class	seurat	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.8889294353419008	0.11145582510370762	6	False
Astrocyte	class	seurat	whole cortex	0.0	100	0.9382088425060305	0.057061635957926064	6	False
Astrocyte	family	scvi_knn	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.8911046332188982	0.09134579188065367	6	False
Astrocyte	family	scvi_knn	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.9227715572589726	0.05548913038374506	6	False
Astrocyte	family	scvi_knn	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.8723327276052558	0.0946133522231965	6	False
Astrocyte	family	scvi_knn	whole cortex	0.0	100	0.9278019434352016	0.04921978323846053	6	False
Astrocyte	family	scvi_rf	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.8690343019826868	0.08643116674319014	6	False
Astrocyte	family	scvi_rf	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.9274491095191437	0.05371724970299645	6	False
Astrocyte	family	scvi_rf	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.8126708337362957	0.1286650292100485	6	False
Astrocyte	family	scvi_rf	whole cortex	0.0	100	0.9236269030842376	0.055254102178166585	6	False
Astrocyte	family	seurat	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.7951748554282854	0.16518314153047495	6	False
Astrocyte	family	seurat	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.9301045520078789	0.04921964729703129	6	False
Astrocyte	family	seurat	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.8889294353419008	0.11145582510370762	6	False
Astrocyte	family	seurat	whole cortex	0.0	100	0.9382088425060305	0.057061635957926064	6	False
Astrocyte	subclass	scvi_knn	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.8911046332188982	0.09134579188065367	6	False
Astrocyte	subclass	scvi_knn	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.9227715572589726	0.05548913038374506	6	False
Astrocyte	subclass	scvi_knn	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.8723327276052558	0.0946133522231965	6	False
Astrocyte	subclass	scvi_knn	whole cortex	0.0	100	0.9278019434352016	0.04921978323846053	6	False
Astrocyte	subclass	scvi_rf	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.8690343019826868	0.08643116674319014	6	False
Astrocyte	subclass	scvi_rf	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.9274491095191437	0.05371724970299645	6	False
Astrocyte	subclass	scvi_rf	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.8126708337362957	0.1286650292100485	6	False
Astrocyte	subclass	scvi_rf	whole cortex	0.0	100	0.9236269030842376	0.055254102178166585	6	False
Astrocyte	subclass	seurat	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.7951748554282854	0.16518314153047495	6	False
Astrocyte	subclass	seurat	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.9301045520078789	0.04921964729703129	6	False
Astrocyte	subclass	seurat	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.8889294353419008	0.11145582510370762	6	False
Astrocyte	subclass	seurat	whole cortex	0.0	100	0.9382088425060305	0.057061635957926064	6	False
CA1-ProS	subclass	scvi_knn	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.5823009344748475	0.0	1	False
CA1-ProS	subclass	scvi_knn	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.7533607696651176	0.0	1	False
CA1-ProS	subclass	scvi_knn	whole cortex	0.0	100	0.6703846703846703	0.0	1	False
CA1-ProS	subclass	scvi_rf	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.6766000203500203	0.0	1	False
CA1-ProS	subclass	scvi_rf	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.8342744212309429	0.0	1	False
CA1-ProS	subclass	scvi_rf	whole cortex	0.0	100	0.6167521994134898	0.0	1	False
CA1-ProS	subclass	seurat	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.9272760336590123	0.0	1	False
