"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.702108206895248	0.0560908460527701	0.582174697297604	0.799473549128693
"scvi"	0	0.684719186698079	0.0578955465816366	0.562148961938008	0.786037220910161
"seurat"	0.05	0.695946546770758	0.0567406898365333	0.575051749287951	0.794725071675691
"scvi"	0.05	0.637798556651505	0.0619446339908501	0.510059595782296	0.748645279494861
"seurat"	0.1	0.689713761745682	0.0573789879149399	0.567893545713465	0.789896374875495
"scvi"	0.1	0.588095743146985	0.064947729928677	0.457746411276785	0.707157000275381
"seurat"	0.15	0.683411332099546	0.0580049457715489	0.56070290595254	0.784987543483196
"scvi"	0.15	0.536528724953717	0.0666653191746224	0.406344320867106	0.661917279354039
"seurat"	0.2	0.677040831760891	0.0586177697045583	0.553482706609907	0.779998732701505
"scvi"	0.2	0.484168433560621	0.0669526669646107	0.356910986997613	0.613512675186291
"seurat"	0.25	0.670603927837079	0.0592166687589562	0.546235877172968	0.774930170158611
"scvi"	0.25	0.43215342913883	0.0657849628961872	0.310343732499631	0.562760161435067
"seurat"	0.5	0.63748811474865	0.0619750529612617	0.509707926648931	0.748404347486899
"scvi"	0.5	0.210537882916954	0.044577172819948	0.136182876841902	0.310879649144658
"seurat"	0.75	0.60301389214578	0.0642718178354213	0.472975668618194	0.719963520396382
"scvi"	0.75	0.0854655383396386	0.0209896488520503	0.0523189132469348	0.136585541950417
