key	label	method	n	mean	median	std	n_zero	pct_zero	n_one	pct_one	n_boundary	pct_boundary
subclass	Astrocyte	scvi	111212	0.9481137550921728	1.0	0.16359602469343595	1741	1.5654785454807034	85651	77.01596949969428	87392	78.58144804517498
subclass	Astrocyte	seurat	111835	0.9780487043830768	1.0	0.10439549179151929	799	0.7144453882952564	97784	87.43595475477265	98583	88.15040014306791
subclass	Chandelier	scvi	27331	0.8413421292240217	1.0	0.349496745805656	3889	14.229263473711171	21866	80.00439061871135	25755	94.23365409242253
subclass	Chandelier	seurat	27370	0.8379457922826574	1.0	0.34667880534820406	3827	13.982462550237486	21337	77.9576178297406	25164	91.94008037997808
subclass	Endothelial	scvi	53783	0.7332073567485782	1.0	0.3762037421649868	9853	18.31991521484484	28108	52.26186713273711	37961	70.58178234758195
subclass	Endothelial	seurat	54265	0.6978353402516325	1.0	0.4107008028655656	12880	23.735372708007002	28549	52.61033815534875	41429	76.34571086335575
subclass	GABAergic	scvi	13610	0.9201860878562659	1.0	0.1969439567219805	359	2.6377663482733285	9296	68.30271858927259	9655	70.94048493754592
subclass	GABAergic	seurat	13620	0.9528297228239886	1.0	0.13247389790432698	176	1.2922173274596183	9340	68.57562408223201	9516	69.86784140969164
subclass	Glutamatergic	scvi	12340	0.92318557788415	1.0	0.1976685827834446	79	0.640194489465154	7728	62.62560777957861	7807	63.26580226904376
subclass	Glutamatergic	seurat	12340	0.9822936595963281	1.0	0.039712109418362965	0	0.0	7115	57.658022690437605	7115	57.658022690437605
subclass	L2/3-6 IT	scvi	102202	0.8979217484086601	0.9873417721518988	0.2217156201190652	1672	1.635975812606407	39918	39.05794407154459	41590	40.69391988415099
subclass	L2/3-6 IT	seurat	102825	0.9455111186117279	1.0	0.13394742291737757	178	0.17310965232190614	56007	54.46827133479212	56185	54.641380987114026
subclass	L5 ET	scvi	16660	0.5904301739974958	1.0	0.47196175894736503	6219	37.32893157262905	8985	53.93157262905162	15204	91.26050420168067
subclass	L5 ET	seurat	16728	0.6673288334245775	1.0	0.45517669201970623	5082	30.380200860832137	10517	62.870636059301766	15599	93.2508369201339
subclass	L5/6 NP	scvi	50821	0.9172383758824404	1.0	0.2596918851226963	3537	6.959721375022137	45140	88.82155014659294	48677	95.78127152161508
subclass	L5/6 NP	seurat	51038	0.9239769771050386	1.0	0.25650991854581306	3532	6.920333868882009	46359	90.83232101571379	49891	97.75265488459578
subclass	L6 CT	scvi	68522	0.7588703370707692	1.0	0.3585063822100731	10622	15.50159072998453	38931	56.815329383263766	49553	72.3169201132483
subclass	L6 CT	seurat	68938	0.8236694802420527	1.0	0.31964170383550156	7376	10.699469088166179	46815	67.90884562940613	54191	78.60831471757231
subclass	L6b	scvi	59022	0.7822516222814908	1.0	0.338881756427988	7802	13.218799769577446	33901	57.43790451018264	41703	70.65670427976009
subclass	L6b	seurat	59389	0.8438758955691187	1.0	0.28707630383289595	4631	7.797740322281904	39474	66.46685413123643	44105	74.26459445351833
subclass	LAMP5	scvi	90592	0.8572945918256362	1.0	0.24555248822638814	4632	5.1130342635111266	52243	57.66844754503709	56875	62.781481808548214
subclass	LAMP5	seurat	91175	0.8702712543378575	1.0	0.23205399947420893	3965	4.348779819029339	54162	59.40444200712915	58127	63.75322182615849
subclass	Microglia	scvi	91003	0.9163202073972898	1.0	0.23351589448219295	4469	4.910827115589596	73460	80.72261354021296	77929	85.63344065580256
subclass	Microglia	seurat	91565	0.9204142606299596	1.0	0.22922766795011723	4328	4.726696881996396	74214	81.05061977829956	78542	85.77731666029597
subclass	Non-neuron	scvi	11840	0.8789455401955402	1.0	0.30916013452845026	1226	10.35472972972973	9883	83.47128378378379	11109	93.82601351351352
subclass	Non-neuron	seurat	11840	0.9891448753948754	1.0	0.0959508712265354	102	0.8614864864864865	11616	98.10810810810811	11718	98.9695945945946
subclass	OPC	scvi	106432	0.9443180505107021	1.0	0.18925365381287923	2952	2.773601924233313	90111	84.6653262176789	93063	87.4389281419122
subclass	OPC	seurat	107045	0.9214217547089577	1.0	0.25084894867412405	6707	6.265589238170863	92877	86.76444485963847	99584	93.03003409780933
subclass	Oligodendrocyte	scvi	113042	0.936469374424817	1.0	0.18497961137867214	2155	1.9063710833141665	80079	70.84004175439217	82234	72.74641283770634
subclass	Oligodendrocyte	seurat	113645	0.9855126541478706	1.0	0.07573034467779859	269	0.23670201064719082	99370	87.4389546394474	99639	87.6756566500946
subclass	PAX6	scvi	15601	0.7840114034204155	1.0	0.36293787282293394	2378	15.242612653035062	10523	67.45080443561311	12901	82.69341708864816
subclass	PAX6	seurat	15620	0.8059801231632218	1.0	0.3386687930242068	1956	12.522407170294494	10639	68.11139564660691	12595	80.63380281690141
subclass	PVALB	scvi	97330	0.8476733210456987	0.9090909090909092	0.21982234156497651	3439	3.5333401828829754	41104	42.23158327339977	44543	45.76492345628275
subclass	PVALB	seurat	97915	0.8844250030643608	1.0	0.1955362389807178	2833	2.8933258438441505	49056	50.100597456977994	51889	52.99392330082214
subclass	Pericyte	scvi	20890	0.06360217783386764	0.0	0.23926276933994411	19483	93.26471996170416	1179	5.643848731450455	20662	98.90856869315462
subclass	Pericyte	seurat	20910	0.08107244819583413	0.0	0.269088416639117	19143	91.54949784791965	1551	7.417503586800574	20694	98.96700143472023
subclass	SNCG	scvi	64842	0.6019941796822522	0.6666666666666666	0.4080067757930821	18228	28.1114092717683	23433	36.13861386138614	41661	64.25002313315444
subclass	SNCG	seurat	65297	0.6145943594518648	0.6666666666666666	0.3884072641569949	15894	24.341087645680506	22259	34.088855537007824	38153	58.42994318268833
subclass	SST	scvi	92984	0.8679442682731772	1.0	0.22756418929066355	3634	3.908199260087757	50825	54.659941495311024	54459	58.56814075539878
subclass	SST	seurat	93565	0.900794633515103	1.0	0.22208944729930813	4074	4.354192272751563	62996	67.32859509431945	67070	71.68278736707101
subclass	VIP	scvi	95092	0.8589807384780559	0.9696969696969696	0.22949532908323114	3833	4.0308332982795605	47430	49.878012871745256	51263	53.908846170024816
subclass	VIP	seurat	95685	0.8789311496260486	1.0	0.2188918914930378	3829	4.001672153420076	51728	54.06072007106652	55557	58.062392224486594
subclass	VLMC	scvi	11350	0.5254202121911374	0.6666666666666666	0.43472920255991476	4125	36.34361233480176	4066	35.82378854625551	8191	72.16740088105728
subclass	VLMC	seurat	11350	0.6787579635244834	0.9230769230769232	0.39196612623306454	2314	20.387665198237887	5605	49.38325991189427	7919	69.77092511013215
subclass	Vascular	scvi	8720	0.8223061628738234	1.0	0.3578085967574062	1302	14.931192660550458	6686	76.6743119266055	7988	91.60550458715596
subclass	Vascular	seurat	8720	0.8345281285992294	1.0	0.3473942935215262	1198	13.738532110091743	6836	78.39449541284404	8034	92.13302752293578
class	Astrocyte	scvi	111212	0.9481137550921728	1.0	0.16359602469343595	1741	1.5654785454807034	85651	77.01596949969428	87392	78.58144804517498
class	Astrocyte	seurat	111835	0.9780487043830768	1.0	0.10439549179151929	799	0.7144453882952564	97784	87.43595475477265	98583	88.15040014306791
class	Chandelier	scvi	27331	0.8421406763527434	1.0	0.3494539182718284	3889	14.229263473711171	21936	80.26051004354031	25825	94.48977351725148
class	Chandelier	seurat	27370	0.8379457922826574	1.0	0.34667880534820406	3827	13.982462550237486	21337	77.9576178297406	25164	91.94008037997808
class	GABAergic	scvi	13610	0.9201860878562659	1.0	0.1969439567219805	359	2.6377663482733285	9296	68.30271858927259	9655	70.94048493754592
class	GABAergic	seurat	13620	0.9527563013849284	1.0	0.13267852174386405	176	1.2922173274596183	9340	68.57562408223201	9516	69.86784140969164
class	Glutamatergic	scvi	12340	0.92318557788415	1.0	0.1976685827834446	79	0.640194489465154	7728	62.62560777957861	7807	63.26580226904376
class	Glutamatergic	seurat	12340	0.9822936595963281	1.0	0.039712109418362965	0	0.0	7115	57.658022690437605	7115	57.658022690437605
