"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.805195862843615	0.041585770551515	0.71082492590645	0.87421893083171
"scvi"	0	0.839489548827605	0.0357305150454812	0.756695541157187	0.897910684966104
"seurat"	0.05	0.80125671713913	0.0422046357711452	0.705712069653643	0.871432706371194
"scvi"	0.05	0.809578352321682	0.040861959729601	0.716607742276008	0.877272250449819
"seurat"	0.1	0.797257973919303	0.0428274256126801	0.700538773466254	0.868598460043526
"scvi"	0.1	0.775583252184982	0.0461195795743536	0.672762163330877	0.853149084451077
"seurat"	0.15	0.793199540532479	0.0434539191885425	0.695305588789153	0.865715866861497
"scvi"	0.15	0.737487086386863	0.0512859999778665	0.625666755585286	0.82523487938031
"seurat"	0.2	0.789081359166754	0.0440838839369653	0.690013124350026	0.862784618178487
"scvi"	0.2	0.69546318204949	0.0560963022440467	0.576054424069779	0.793306905252533
"seurat"	0.25	0.784903407950552	0.0447170754879744	0.684662047030936	0.859804422357458
"scvi"	0.25	0.649905501741302	0.0602582947033815	0.524849857051403	0.757269297394701
"seurat"	0.5	0.763118988613993	0.0479220435434687	0.65705496961857	0.844160303688393
"scvi"	0.5	0.397190010657418	0.0634575008403021	0.281564210117784	0.525563017615784
"seurat"	0.75	0.73985952389585	0.0511641093380565	0.628117129249355	0.827259704902449
"scvi"	0.75	0.189540543009793	0.040824310362263	0.121966116337027	0.282508021274118
