method	reference	cutoff	subsample_ref	score_inner	held_out_study
scvi	Dissection Angular gyrus AnG	0.0	50	0.9763075701817272	CMC
scvi	Dissection Angular gyrus AnG	0.0	100	0.9791922823298903	CMC
scvi	Dissection Angular gyrus AnG	0.0	500	0.9839256237494579	CMC
scvi	Dissection Angular gyrus AnG	0.05	50	0.9763075701817271	CMC
scvi	Dissection Angular gyrus AnG	0.05	100	0.9791922823298903	CMC
scvi	Dissection Angular gyrus AnG	0.05	500	0.9839256237494579	CMC
scvi	Dissection Angular gyrus AnG	0.1	50	0.9763075701817272	CMC
scvi	Dissection Angular gyrus AnG	0.1	100	0.9791922823298903	CMC
scvi	Dissection Angular gyrus AnG	0.1	500	0.9839256237494579	CMC
scvi	Dissection Angular gyrus AnG	0.15	50	0.976580339071755	CMC
scvi	Dissection Angular gyrus AnG	0.15	100	0.9782429320214368	CMC
scvi	Dissection Angular gyrus AnG	0.15	500	0.9831473604931517	CMC
scvi	Dissection Angular gyrus AnG	0.2	50	0.9731781112177071	CMC
scvi	Dissection Angular gyrus AnG	0.2	100	0.9777233659446839	CMC
scvi	Dissection Angular gyrus AnG	0.2	500	0.980816318397039	CMC
scvi	Dissection Angular gyrus AnG	0.25	50	0.9698426405202863	CMC
scvi	Dissection Angular gyrus AnG	0.25	100	0.9733144813823097	CMC
scvi	Dissection Angular gyrus AnG	0.25	500	0.9808635595848475	CMC
scvi	Dissection Angular gyrus AnG	0.5	50	0.9050327472621637	CMC
scvi	Dissection Angular gyrus AnG	0.5	100	0.9163690044673498	CMC
scvi	Dissection Angular gyrus AnG	0.75	50	0.6613790611604263	CMC
scvi	Dissection Angular gyrus AnG	0.75	100	0.710275437436693	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.0	50	0.9812078089068473	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.0	100	0.977237186883187	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.0	500	0.9831263148079836	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.05	50	0.9812078089068473	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.05	100	0.977237186883187	CMC
