"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.87578630101072	0.0310999498334194	0.801033877437672	0.925080643977722
"scvi"	0	0.869263508191536	0.0324910848208568	0.79151499715849	0.920914913915273
"seurat"	0.05	0.868783980525966	0.0325843569240451	0.790841424670501	0.920597591097665
"scvi"	0.05	0.835558880752635	0.0392743366941357	0.743700066478475	0.898967720087947
"seurat"	0.1	0.86144936591624	0.0341101989391772	0.780266294431531	0.915872371007933
"scvi"	0.1	0.795212085851925	0.0465406317766073	0.689219669147596	0.871780522923614
"seurat"	0.15	0.853773771625742	0.0356752160974834	0.769308541723101	0.910894958393579
"scvi"	0.15	0.747952083040516	0.0538695885048208	0.628931230803266	0.838594153868833
"seurat"	0.2	0.845749095656244	0.0372766951299919	0.757969803317058	0.905655274571576
"scvi"	0.2	0.69398270599603	0.0606794139043328	0.564334357516335	0.798804476107454
"seurat"	0.25	0.837367924215705	0.0389114450287409	0.746253402210455	0.900143236218704
"scvi"	0.25	0.634110336292776	0.0662887655127817	0.497471439252445	0.752109838917394
"seurat"	0.5	0.789917393133038	0.047436887438971	0.682251686671991	0.86815188660562
"scvi"	0.5	0.311164617966878	0.0612625099825377	0.205070853204893	0.441651301256015
"seurat"	0.75	0.733036197784167	0.0560192723820908	0.610401252283105	0.827949601938271
"scvi"	0.75	0.105339899818239	0.0269748102093693	0.0629576053371568	0.171045416241918
