method	reference	cutoff	subsample_ref	score_inner	held_out_study
scvi	Dissection Angular gyrus AnG	0.0	50	0.8902830864486004	CMC
scvi	Dissection Angular gyrus AnG	0.0	100	0.8921142201226007	CMC
scvi	Dissection Angular gyrus AnG	0.0	500	0.8978469985442968	CMC
scvi	Dissection Angular gyrus AnG	0.05	50	0.8902830864486004	CMC
scvi	Dissection Angular gyrus AnG	0.05	100	0.8921142201226007	CMC
scvi	Dissection Angular gyrus AnG	0.05	500	0.8978469985442968	CMC
scvi	Dissection Angular gyrus AnG	0.1	50	0.8902830864486004	CMC
scvi	Dissection Angular gyrus AnG	0.1	100	0.8921142201226007	CMC
scvi	Dissection Angular gyrus AnG	0.1	500	0.8978469985442968	CMC
scvi	Dissection Angular gyrus AnG	0.15	50	0.8903283672425626	CMC
scvi	Dissection Angular gyrus AnG	0.15	100	0.8913052384096849	CMC
scvi	Dissection Angular gyrus AnG	0.15	500	0.8970155956336664	CMC
scvi	Dissection Angular gyrus AnG	0.2	50	0.8875830762902523	CMC
scvi	Dissection Angular gyrus AnG	0.2	100	0.8898668621206435	CMC
scvi	Dissection Angular gyrus AnG	0.2	500	0.8949747193923053	CMC
scvi	Dissection Angular gyrus AnG	0.25	50	0.8850724114330836	CMC
scvi	Dissection Angular gyrus AnG	0.25	100	0.8853921295285876	CMC
scvi	Dissection Angular gyrus AnG	0.25	500	0.9055576397053745	CMC
scvi	Dissection Angular gyrus AnG	0.5	50	0.8135270982330116	CMC
scvi	Dissection Angular gyrus AnG	0.5	100	0.8216395515593866	CMC
scvi	Dissection Angular gyrus AnG	0.75	50	0.578914116712095	CMC
scvi	Dissection Angular gyrus AnG	0.75	100	0.6224740907832772	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.0	50	0.8938703116863861	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.0	100	0.8924152031815914	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.0	500	0.8995935964413331	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.05	50	0.8938703116863861	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.05	100	0.8924152031815914	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.05	500	0.8995935964413331	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.1	50	0.8938703116863861	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.1	100	0.8924152031815914	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.1	500	0.8995935964413331	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.15	50	0.8938200451358104	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.15	100	0.8925169220656791	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.15	500	0.8995945650941005	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.2	50	0.8924239899058816	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.2	100	0.8915915858572337	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.2	500	0.8984214791451345	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.25	50	0.8862684251924825	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.25	100	0.8877112980931502	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.25	500	0.901338271890403	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.5	50	0.7957555307658611	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.5	100	0.8067893691723755	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.75	50	0.5376446113055632	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.75	100	0.5966811918650128	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.0	50	0.8556408190491556	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.0	100	0.8527704279376052	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.0	500	0.8258108512100597	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.05	50	0.8556408190491556	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.05	100	0.8527704279376052	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.05	500	0.8258108512100597	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.1	50	0.8556408190491556	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.1	100	0.8527704279376052	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.1	500	0.8258108512100597	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.15	50	0.855275989396759	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.15	100	0.8527799069305436	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.15	500	0.8258406422534772	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.2	50	0.8509050295807727	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.2	100	0.8505336828718095	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.2	500	0.8261303042833034	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.25	50	0.8404085435650032	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.25	100	0.8396065406078854	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.25	500	0.8240648517046957	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.5	50	0.6799671034434452	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.5	100	0.6797984441610525	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.75	50	0.30309551952046593	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.75	100	0.34279180843803125	CMC
scvi	Dissection Primary auditory cortexA1	0.0	50	0.8859310403835613	CMC
scvi	Dissection Primary auditory cortexA1	0.0	100	0.8925533253111936	CMC
scvi	Dissection Primary auditory cortexA1	0.0	500	0.8914049106714174	CMC
