effect	component	term	estimate	std.error	statistic	p.value	FDR	key	formula	LogLik	AIC	BIC
fixed	cond	(Intercept)	0.41683383376335587	0.011848393312097054	35.18062093176583	3.9567482813314363e-271	9.89187070332859e-271	subclass	macro_f1 ~ ref_type * query_type + cutoff	3524.3158779246087	-7032.631755849217	-6973.184390722119
fixed	cond	ref_typecell_and_nucleus	0.28365456586504867	0.013865314372189014	20.45785319040452	5.114101091702678e-93	8.523501819504464e-93	subclass	macro_f1 ~ ref_type * query_type + cutoff	3524.3158779246087	-7032.631755849217	-6973.184390722119
fixed	cond	query_typesingle-nucleus	0.23674528780779505	0.031118788351612	7.6077926021027515	2.7881677491861762e-14	3.48520968648272e-14	subclass	macro_f1 ~ ref_type * query_type + cutoff	3524.3158779246087	-7032.631755849217	-6973.184390722119
fixed	cond	cutoff	-1.5327463605684175	0.027502686882191565	-55.730786127696334	0	0	subclass	macro_f1 ~ ref_type * query_type + cutoff	3524.3158779246087	-7032.631755849217	-6973.184390722119
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.28073174608334117	0.043942528777638754	-6.388611531755962	1.6739870991322193e-10	1.6739870991322193e-10	subclass	macro_f1 ~ ref_type * query_type + cutoff	3524.3158779246087	-7032.631755849217	-6973.184390722119
fixed	cond	(Intercept)	0.3029077210059275	0.012330370287631618	24.565987390481613	2.918718632656423e-133	7.296796581641059e-133	class	macro_f1 ~ ref_type * query_type + cutoff	2934.356193712758	-5852.712387425516	-5793.2650222984175
fixed	cond	ref_typecell_and_nucleus	0.29616798046163867	0.014457195802951253	20.48585247777994	2.8790002747476843e-93	4.7983337912461405e-93	class	macro_f1 ~ ref_type * query_type + cutoff	2934.356193712758	-5852.712387425516	-5793.2650222984175
fixed	cond	query_typesingle-nucleus	0.416056363890104	0.03257443977805219	12.772479487749532	2.3359286201802867e-37	2.9199107752253585e-37	class	macro_f1 ~ ref_type * query_type + cutoff	2934.356193712758	-5852.712387425516	-5793.2650222984175
fixed	cond	cutoff	-1.508596147994004	0.02876839680134663	-52.439354143063944	0	0	class	macro_f1 ~ ref_type * query_type + cutoff	2934.356193712758	-5852.712387425516	-5793.2650222984175
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.19779187268565457	0.04606582704144266	-4.293678967441811	1.757365316384892e-5	1.757365316384892e-5	class	macro_f1 ~ ref_type * query_type + cutoff	2934.356193712758	-5852.712387425516	-5793.2650222984175
fixed	cond	(Intercept)	0.855537349833775	0.012535217987746516	68.25069581319478	0	0	family	macro_f1 ~ ref_type * query_type + cutoff	4259.360766706254	-8502.721533412509	-8443.27416828541
fixed	cond	ref_typecell_and_nucleus	0.22149278408432724	0.014293661716544183	15.495874218707769	3.6989496639122067e-54	4.6236870798902583e-54	family	macro_f1 ~ ref_type * query_type + cutoff	4259.360766706254	-8502.721533412509	-8443.27416828541
fixed	cond	query_typesingle-nucleus	0.5838008943751618	0.03418265694295146	17.078862399417517	2.1323576665743493e-65	3.5539294442905822e-65	family	macro_f1 ~ ref_type * query_type + cutoff	4259.360766706254	-8502.721533412509	-8443.27416828541
fixed	cond	cutoff	-1.7655241658176628	0.027866131159866837	-63.35734787469865	0	0	family	macro_f1 ~ ref_type * query_type + cutoff	4259.360766706254	-8502.721533412509	-8443.27416828541
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.011265512903947911	0.04817444953671792	-0.23384829535751078	0.8151027545885717	0.8151027545885717	family	macro_f1 ~ ref_type * query_type + cutoff	4259.360766706254	-8502.721533412509	-8443.27416828541
fixed	cond	(Intercept)	0.8748382093899735	0.017927867522284202	48.797672578880686	0	0	global	macro_f1 ~ ref_type * query_type + cutoff	-997.9491737106966	2011.8983474213933	2071.345712548491
fixed	cond	ref_typecell_and_nucleus	0.21562825472134398	0.01953092032827836	11.040352993972379	2.4407241883660916e-28	3.0509052354576146e-28	global	macro_f1 ~ ref_type * query_type + cutoff	-997.9491737106966	2011.8983474213933	2071.345712548491
fixed	cond	query_typesingle-nucleus	1.2413835007427942	0.048906189434746505	25.3829528550598	3.890431672271358e-142	6.484052787118931e-142	global	macro_f1 ~ ref_type * query_type + cutoff	-997.9491737106966	2011.8983474213933	2071.345712548491
fixed	cond	cutoff	-1.8105149233185405	0.038360234740438544	-47.19770187980456	0	0	global	macro_f1 ~ ref_type * query_type + cutoff	-997.9491737106966	2011.8983474213933	2071.345712548491
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.26223895978734274	0.0642932414260657	-4.07879512637274	4.526970814456875e-5	4.526970814456875e-5	global	macro_f1 ~ ref_type * query_type + cutoff	-997.9491737106966	2011.8983474213933	2071.345712548491
