"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"seurat / scvi_rf"	1.00845374704523	0.0190076692123366	Inf	1	0.446629179046812	0.895895475216257	"class"
"seurat / scvi_knn"	1.09220633864058	0.0206750054453155	Inf	1	4.65936497427614	9.46543060986738e-06	"class"
"scvi_rf / scvi_knn"	1.08305050364554	0.0201997727882283	Inf	1	4.27764722900402	5.60994644779322e-05	"class"
"seurat / scvi_rf"	0.796770256059711	0.0139222644651323	Inf	1	-13.0020055711755	0	"family"
"seurat / scvi_knn"	0.85984812205484	0.0151582982341926	Inf	1	-8.56538385962544	2.72004641033163e-14	"family"
"scvi_rf / scvi_knn"	1.07916694368973	0.0190427892490187	Inf	1	4.31770133731859	4.68572623757435e-05	"family"
"seurat / scvi_rf"	0.686557874209776	0.0162575447440051	Inf	1	-15.8812552671078	0	"global"
"seurat / scvi_knn"	0.854571229524958	0.0201667664505757	Inf	1	-6.65949607416105	8.24472712324109e-11	"global"
"scvi_rf / scvi_knn"	1.24471841577604	0.027592415988671	Inf	1	9.87519459592374	2.8421709430404e-14	"global"
"seurat / scvi_rf"	1.03515183588599	0.0154870230018428	Inf	1	2.30919441664115	0.0545287375733925	"subclass"
"seurat / scvi_knn"	1.0932021195996	0.0163191994378308	Inf	1	5.9694385767519	7.13915149219702e-09	"subclass"
"scvi_rf / scvi_knn"	1.05607900377623	0.0156187010860598	Inf	1	3.68934873945814	0.000658080224526625	"subclass"
