"method"	"cutoff"	"fit"	"SE"	"df"	"lower"	"upper"	"key"
"seurat"	0	0.790357822400379	0.0502736982397091	Inf	0.675331556007125	0.872335455373968	"class"
"scvi"	0	0.80715146366984	0.0472311886276131	Inf	0.697811028522694	0.883532592131917	"class"
"seurat"	0.05	0.787089782775307	0.0508412586937312	Inf	0.671029751099156	0.870128722284553	"class"
"scvi"	0.05	0.783041891337981	0.0515422944003746	Inf	0.665710218218199	0.867394757651295	"class"
"seurat"	0.1	0.783784735462657	0.0514096954080746	Inf	0.666696259725475	0.867891076186278	"class"
"scvi"	0.1	0.756826264622402	0.0558306121167096	Inf	0.631994135205657	0.849403966168648	"class"
"seurat"	0.15	0.78044269466015	0.0519788202691818	Inf	0.662331571159976	0.865622306171321	"class"
"scvi"	0.15	0.72854108900081	0.059990936390118	Inf	0.596932684894331	0.829454440179545	"class"
"seurat"	0.2	0.777063689271556	0.052548440272548	Inf	0.657936195079597	0.863322206996431	"class"
"scvi"	0.2	0.698277507775935	0.0639061254567054	Inf	0.560848121999869	0.807463636377096	"class"
"seurat"	0.25	0.773647763216827	0.0531183575751136	Inf	0.653510661514432	0.860990579335206	"class"
"scvi"	0.25	0.666185913378598	0.067452401634086	Inf	0.524104651326077	0.783380425645795	"class"
"seurat"	0.5	0.756016948800617	0.0559651487711407	Inf	0.630950595657307	0.848852983777833	"class"
"scvi"	0.5	0.487593271328925	0.0758040156799535	Inf	0.344276114090562	0.632979793499866	"class"
"seurat"	0.75	0.737478846368342	0.0587870454144195	Inf	0.607727597037451	0.835901130933423	"class"
"scvi"	0.75	0.312113107672356	0.0652008371007902	Inf	0.200131687047304	0.451392491690959	"class"
"seurat"	0	0.851506749756437	0.0250359323865767	Inf	0.795498179809014	0.894215629601446	"family"
"scvi"	0	0.8856739612377	0.0200522636142583	Inf	0.840123989529343	0.919490029614781	"family"
"seurat"	0.05	0.848486007125384	0.0254496303995204	Inf	0.79162941811012	0.891946143842921	"family"
"scvi"	0.05	0.86704123219048	0.0228238099407122	Inf	0.815628281451768	0.905773699511109	"family"
"seurat"	0.1	0.845414970440626	0.0258674909530147	Inf	0.787704338189653	0.88963554045677	"family"
"scvi"	0.1	0.845900129546385	0.025802386415016	Inf	0.788322054993008	0.890001859240943	"family"
"seurat"	0.15	0.842293256642045	0.0262894334255155	Inf	0.78372282277594	0.887283363746319	"family"
"scvi"	0.15	0.822087258910006	0.0289461405909479	Inf	0.758167441761167	0.871965263596258	"family"
"seurat"	0.2	0.839120498836777	0.0267153708378453	Inf	0.779684785076846	0.884889164320017	"family"
"scvi"	0.2	0.795484283310853	0.032193729383678	Inf	0.725210913378328	0.851467032546283	"family"
"seurat"	0.25	0.83589634715425	0.0271452097021749	Inf	0.775590169817488	0.88245249963288	"family"
"scvi"	0.25	0.766035513707932	0.0354633096189895	Inf	0.689598025386205	0.828335700436668	"family"
"seurat"	0.5	0.818993736339761	0.0293491802601724	Inf	0.754268829782693	0.869617258348303	"family"
