"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"seurat"	0.860468524465205	0.0262042024824974	Inf	0.800818093953913	0.904387845086779	"class"
"scvi_rf"	0.859454742763745	0.0263610717038437	Inf	0.799478219095777	0.903654013171994	"class"
"scvi_knn"	0.84953862683613	0.0278956879245192	Inf	0.786381414702436	0.896481211652454	"class"
"seurat"	0.905800942803975	0.0111374656950559	Inf	0.881590346271568	0.92547976466704	"family"
"scvi_rf"	0.923480092113854	0.00922633359991415	Inf	0.903322188250496	0.939715448459596	"family"
"scvi_knn"	0.91791947614985	0.00983780054845971	Inf	0.896459527523052	0.935252850267549	"family"
"seurat"	0.94019598666122	0.0159655693477035	Inf	0.900113986059361	0.96482256628601	"global"
"scvi_rf"	0.958156727528641	0.0113829380284771	Inf	0.929209685951661	0.975578063711783	"global"
"scvi_knn"	0.948444823868711	0.0138809417430142	Inf	0.913392296027426	0.969780000633372	"global"
"seurat"	0.834188698798222	0.0344289671184805	Inf	0.7554236116577	0.891239743403441	"subclass"
"scvi_rf"	0.829354745244053	0.0352266443645819	Inf	0.748986228457688	0.887844412742633	"subclass"
"scvi_knn"	0.821493369247577	0.0364997229120842	Inf	0.738590607889482	0.882294502350329	"subclass"
