key	method_display	reference	subsample_ref	mean_f1	n_celltypes	total_duration_hrs	total_memory_gb	pareto
subclass	Seurat	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	500	0.8761606816648002	18	0.13221802322962	0.03134765625	TRUE
subclass	Seurat	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	100	0.8756417213135058	18	0.09700348264085998	0.03926669034090909	TRUE
subclass	Seurat	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	500	0.8754582835232085	18	0.13221802322962	0.03134765625	FALSE
subclass	Seurat	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	100	0.8753992005403661	18	0.09700348264085998	0.03926669034090909	TRUE
subclass	Seurat	Dissection Anterior cingulate cortex ACC	500	0.871850915926633	18	0.13221802322962	0.03134765625	FALSE
subclass	Seurat	Dissection Angular gyrus AnG	100	0.8699865072573296	18	0.09700348264085998	0.03926669034090909	TRUE
subclass	Seurat	Dissection Angular gyrus AnG	500	0.8686489935905616	18	0.13221802322962	0.03134765625	FALSE
subclass	Seurat	Dissection Primary somatosensory cortex S1	500	0.8648972279925615	18	0.13221802322962	0.03134765625	FALSE
subclass	Seurat	Dissection Anterior cingulate cortex ACC	100	0.864589199150311	18	0.09700348264085998	0.03926669034090909	TRUE
subclass	Seurat	Dissection Primary auditory cortexA1	500	0.8630449641441994	18	0.13221802322962	0.03134765625	FALSE
subclass	Seurat	Dissection Primary visual cortexV1	500	0.8629935631683704	18	0.13221802322962	0.03134765625	FALSE
subclass	scVI kNN	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	500	0.8608657247133543	18	0.06424842734886779	0.02061348335749331	TRUE
subclass	scVI RF	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	100	0.8605736896590965	18	0.07071858511198385	0.02061348335749331	FALSE
subclass	scVI kNN	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	500	0.8602553465691852	18	0.06424842734886779	0.02061348335749331	TRUE
subclass	Seurat	Dissection Primary auditory cortexA1	100	0.8601744047080866	18	0.09700348264085998	0.03926669034090909	FALSE
subclass	scVI RF	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	500	0.8576581467261768	18	0.06424842734886779	0.02061348335749331	TRUE
subclass	scVI kNN	Dissection Primary somatosensory cortex S1	500	0.8565818433367278	18	0.06424842734886779	0.02061348335749331	TRUE
subclass	scVI RF	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	500	0.8562169328198149	18	0.06424842734886779	0.02061348335749331	TRUE
subclass	Seurat	Dissection Primary somatosensory cortex S1	100	0.8562145131563942	18	0.09700348264085998	0.03926669034090909	FALSE
subclass	Seurat	Human Multiple Cortical Areas SMART-seq	100	0.8560010151437262	17	0.09700348264085998	0.03926669034090909	FALSE
