"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"female False / femaleemale False"	1.66343908019584	1.58577832723343	Inf	1	0.533809065203588	0.983871979603872
"female False / male False"	0.982465854235318	0.00474756738450744	Inf	1	-3.66072027936206	0.00233777349454745
"female False / maleale False"	1.53170029014114	1.46018414671268	Inf	1	0.447261360654408	0.991736093751143
"female False / None False"	1.27322967185062	0.752828889644684	Inf	1	0.408535311228972	0.994159033552062
"femaleemale False / male False"	0.590623285175945	0.563045929008413	Inf	1	-0.552368027522467	0.981678782865828
"femaleemale False / maleale False"	0.920803357560177	0.00539947566805487	Inf	1	-14.0706916616699	0
"femaleemale False / None False"	0.765420078804884	0.80952319228965	Inf	1	-0.252766213307981	0.999102275881036
"male False / maleale False"	1.55903666630054	1.48623622434781	Inf	1	0.465819936824533	0.990352155029366
"male False / None False"	1.29595310245323	0.766253461577809	Inf	1	0.438459605532594	0.992340234313968
"maleale False / None False"	0.831252484605392	0.879146001861451	Inf	1	-0.174753107402866	0.999791693642876
