"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"seurat"	0.905732790976081	0.0525964028127618	Inf	0.741778426694246	0.969821705572255	"class"
"scvi"	0.940634955960157	0.0343991160200266	Inf	0.825702508413566	0.981480322294808	"class"
"seurat"	0.938893067705695	0.037766147601704	Inf	0.808750951221848	0.9824023923507	"family"
"scvi"	0.970731558934089	0.018702364174009	Inf	0.901266201242478	0.991770014016085	"family"
"seurat"	0.972147603138729	0.00940967894183956	Inf	0.946417516005197	0.985708780758991	"global"
"scvi"	0.986223091082589	0.00472120091305021	Inf	0.973138884682937	0.992979880980204	"global"
"seurat"	0.881712460616724	0.0610788598186186	Inf	0.702854826543234	0.959166645628116	"subclass"
"scvi"	0.923251947269124	0.0414967367342534	Inf	0.792416328626093	0.974299188629148	"subclass"
