"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.326959511495227	0.00400814505897622	Inf	1	-91.1928643078139	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary visual cortexV1 seurat"	0.439106532976184	0.0052701821546792	Inf	1	-68.5726740599334	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.30114688687618	0.0146055397384402	Inf	1	23.4515016017573	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / whole cortex seurat"	0.386280604002133	0.00467042219881684	Inf	1	-78.6709859274463	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.441020888772614	0.00430998081495068	Inf	1	-83.7700945894645	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.381115123647905	0.00462903962552273	Inf	1	-79.4212573913722	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Angular gyrus AnG scvi"	0.279014054941128	0.00339035203716288	Inf	1	-105.050896854492	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Anterior cingulate cortex ACC scvi"	0.340401502178245	0.00407354119827363	Inf	1	-90.0510568792531	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	0.751287965160635	0.00692117831195919	Inf	1	-31.0413919004657	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary auditory cortexA1 scvi"	0.294612573264493	0.00358182932422867	Inf	1	-100.519665798143	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 scvi"	0.287152754043795	0.00350397975161884	Inf	1	-102.252946253385	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary visual cortexV1 scvi"	0.384553949128727	0.00462145097240533	Inf	1	-79.522022931145	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	0.746641929730851	0.00868951807701728	Inf	1	-25.104503731679	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / whole cortex scvi"	0.259286943110539	0.00318459470178243	Inf	1	-109.90117088865	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.313842266778358	0.00310375330950733	Inf	1	-117.180943566728	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.256691479184571	0.0031374189810356	Inf	1	-111.260150376385	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary somatosensory cortex S1 seurat"	0.872787974995679	0.00893938657080781	Inf	1	-13.2843366197952	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary visual cortexV1 seurat"	1.17215400760486	0.0117291796762711	Inf	1	15.8739628603951	0
"Dissection Primary auditory cortexA1 seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	3.47329047372022	0.0323078230559522	Inf	1	133.856197147291	0
"Dissection Primary auditory cortexA1 seurat / whole cortex seurat"	1.03114010846585	0.0103836068852823	Inf	1	3.0451851775407	0.207720001246804
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.17726420217099	0.01472038194133	Inf	1	13.0514004452425	0
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.01735133958242	0.0103046435781733	Inf	1	1.69836159394974	0.979627229157596
"Dissection Primary auditory cortexA1 seurat / Dissection Angular gyrus AnG scvi"	0.744802042594668	0.00756284021670961	Inf	1	-29.016360524928	0
"Dissection Primary auditory cortexA1 seurat / Dissection Anterior cingulate cortex ACC scvi"	0.908670117633128	0.00918870909357553	Inf	1	-9.47099374514211	1.74416037168612e-13
"Dissection Primary auditory cortexA1 seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.00549327576527	0.0241056074131574	Inf	1	57.8953601415731	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary auditory cortexA1 scvi"	0.786440834988635	0.00800789687049756	Inf	1	-23.5933113644524	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary somatosensory cortex S1 scvi"	0.766527542111204	0.00785039038690396	Inf	1	-25.9614995493643	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary visual cortexV1 scvi"	1.0265309640382	0.0103186453957534	Inf	1	2.60497741586842	0.501063338318589
