method	reference	cutoff	subsample_ref	score_inner	held_out_study
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	50	0.6033914863650794	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.6278954836507936	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	500	0.6372688725634921	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.05	50	0.6033914863650794	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.05	100	0.6278954836507936	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.05	500	0.6372688725634921	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.1	50	0.6034229803333334	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.1	100	0.6278954836507936	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.1	500	0.6372688725634921	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.15	50	0.6025830645595238	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.15	100	0.6290686392222222	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.15	500	0.6380692482936507	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.2	50	0.6002150252420635	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.2	100	0.6240541575753968	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.2	500	0.6420422590833333	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.25	50	0.5898762561269841	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.25	100	0.6161958780873016	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.25	500	0.6408802451111111	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.5	50	0.45140633752380954	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.5	100	0.491440808265873	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.5	500	0.5556316297896825	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.75	50	0.2594956064781746	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.75	100	0.31974393618214286	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.75	500	0.39886071641269844	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	50	0.647518743436508	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.6485836112142858	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	500	0.6492825874761905	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.05	50	0.647518743436508	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.05	100	0.6485836112142858	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.05	500	0.6492825874761905	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.1	50	0.647518743436508	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.1	100	0.6485836112142858	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.1	500	0.6492825874761905	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.15	50	0.6476285605238096	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.15	100	0.6502738538134921	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.15	500	0.648657739734127	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.2	50	0.638449250813492	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.2	100	0.6468068094841269	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.2	500	0.6483337263611111	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.25	50	0.6180156346031745	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.25	100	0.6273058392460317	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.25	500	0.6349220902698413	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.5	50	0.44818210233730155	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.5	100	0.4984054657301587	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.5	500	0.5324978421626984	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.75	50	0.2528902909559524	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.75	100	0.31818856746190477	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.75	500	0.37982078190277774	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	50	0.5753463161587301	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.6052557028452381	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	500	0.6192323503690477	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.05	50	0.5753463161587301	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.05	100	0.6052557028452381	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.05	500	0.6192323503690477	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.1	50	0.5752570303253969	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.1	100	0.6052557028452381	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.1	500	0.6192323503690477	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.15	50	0.5734695931984127	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.15	100	0.6020440019761905	GSE124952
