metric	method	key	n	mean	std	median	q25	q75
macro_f1	scvi_knn	class	172724	0.8896085670848056	0.11619178591581986	0.9192708333333331	0.8395061728395061	0.977591036414566
macro_f1	scvi_knn	family	172724	0.9430426937025076	0.10290304043543523	0.988095238095238	0.9419515326592841	1.0
macro_f1	scvi_knn	global	172724	0.9545474857426925	0.07032174126449663	0.979217938200711	0.9373737373737372	1.0
macro_f1	scvi_knn	subclass	172724	0.8825278960141171	0.12854575341438348	0.9202149702149702	0.8266536203522504	0.9822129822129824
macro_f1	scvi_rf	class	172718	0.9038678851413872	0.132859572937218	0.9523809523809524	0.8666666666666667	1.0
macro_f1	scvi_rf	family	172718	0.9446529216826826	0.12030567998586988	1.0	0.9472222222222224	1.0
macro_f1	scvi_rf	global	172718	0.9645214119651162	0.09245223154318614	1.0	0.9753639417693168	1.0
macro_f1	scvi_rf	subclass	172718	0.8876056671635878	0.14500130187910848	0.943250688705234	0.835297418630752	1.0
macro_f1	seurat	class	172734	0.9072085431762671	0.12059170297810173	0.9508317250252732	0.8658008658008658	1.0
macro_f1	seurat	family	172734	0.944327495181445	0.1157910936964984	1.0	0.9475029036004644	1.0
macro_f1	seurat	global	172734	0.977172970530942	0.0612288075486995	1.0	0.9830412662521198	1.0
macro_f1	seurat	subclass	172734	0.8946916580597536	0.1311662164243505	0.9404761904761904	0.8462121212121212	1.0
