metric	method	key	n	mean	std	median	q25	q75
label_f1	scvi_knn	class	1435938	0.8926879246549568	0.2362391692896206	1.0	0.9090909090909092	1.0
label_f1	scvi_knn	family	989627	0.9434092767072453	0.182396357022147	1.0	1.0	1.0
label_f1	scvi_knn	global	510933	0.9546596289442758	0.08972278270981829	1.0	0.9411764705882352	1.0
label_f1	scvi_knn	subclass	1503300	0.8849126909941655	0.26341348420803956	1.0	0.9333333333333332	1.0
label_f1	scvi_rf	class	1435892	0.9086905885815931	0.23533051333833732	1.0	1.0	1.0
label_f1	scvi_rf	family	989598	0.9460861757127765	0.18151529967230498	1.0	1.0	1.0
label_f1	scvi_rf	global	510915	0.965763919617849	0.10733412040308263	1.0	1.0	1.0
label_f1	scvi_rf	subclass	1503250	0.8907419597087961	0.26961607010588373	1.0	1.0	1.0
label_f1	seurat	class	1436042	0.9116666402268083	0.2315289520788311	1.0	1.0	1.0
label_f1	seurat	family	989692	0.9458052338585844	0.18861865109390727	1.0	1.0	1.0
label_f1	seurat	global	510962	0.9776863563993228	0.07526930004480262	1.0	1.0	1.0
label_f1	seurat	subclass	1503414	0.898057674339086	0.26070439810490825	1.0	1.0	1.0
